Boat,Location,Side,Dock_ID,Segment,Segment_distance_m,Total_distance_m
N,1,N,A1,0,2.67,2.67
N,1,N,A1,20,23.06,23.06
N,1,N,A1,40,41.02,41.02
N,1,N,B1,0,10.28,70.28
Y,1,N,B1,20,27.43,87.43
N,1,N,B1,40,53.86,113.86
N,1,N,C1,0,0.42,120.42
N,1,N,C1,20,23.5,143.5
Y,1,N,C1,40,46.79,166.79
N,2,N,A2,0,15.39,15.39
N,2,N,A2,20,29.2,29.2
N,2,N,A2,40,50.67,50.67
N,2,N,B2,0,9.45,69.45
N,2,N,B2,20,38.67,98.67
N,2,N,B2,40,50,110
N,2,N,C2,0,15.31,135.31
N,2,N,C2,20,26.24,146.24
N,2,N,C2,40,57.7,177.7
N,1,S,A1,0,2.67,2.67
Y,1,S,A1,20,23.06,23.06
Y,1,S,A1,40,41.02,41.02
Y,1,S,B1,0,10.28,70.28
N,1,S,B1,20,27.43,87.43
N,1,S,B1,40,53.86,113.86
N,1,S,C1,0,0.42,120.42
N,1,S,C1,20,23.5,143.5
N,1,S,C1,40,46.79,166.79
N,2,S,A2,0,15.39,15.39
N,2,S,A2,20,29.2,29.2
N,2,S,A2,40,50.67,50.67
Y,2,S,B2,0,9.45,69.45
Y,2,S,B2,20,38.67,98.67
N,2,S,B2,40,50,110
N,2,S,C2,0,15.31,135.31
N,2,S,C2,20,26.24,146.24
N,2,S,C2,40,57.7,177.7
